record_id,municipality_code,municipality_name,designation_level,designation_status,heritage_type_major,heritage_type_detail_norm,entity_class,name,seismic_intensity,scenario,seismic_class
131075100058,13107,墨田区,Municipal,Unknown,有形文化財,歴史資料,point,要津寺雪中庵関係石碑群,6.126,都心西部直下地震,6強以上
131075100059,13107,墨田区,Municipal,Unknown,有形文化財,歴史資料,point,多聞寺の板碑,6.294,都心西部直下地震,6強以上
131075100061,13107,墨田区,Municipal,Unknown,有形文化財,歴史資料,point,石造海難供養碑,6.19,都心西部直下地震,6強以上
131075100062,13107,墨田区,Municipal,Unknown,有形文化財,歴史資料,point,三囲神社の石造常夜燈,6.163,都心西部直下地震,6強以上
131075100063,13107,墨田区,Municipal,Unknown,有形文化財,歴史資料,point,石造墨堤永代常夜燈,6.161,都心西部直下地震,6強以上
131075100064,13107,墨田区,Municipal,Unknown,有形文化財,歴史資料,point,吾嬬神社の連理の楠,6.279,都心西部直下地震,6強以上
131075100065,13107,墨田区,Municipal,Unknown,有形文化財,歴史資料,point,墨堤植桜之碑,6.163,都心西部直下地震,6強以上
131075100066,13107,墨田区,Municipal,Unknown,有形文化財,歴史資料,point,絹本墨書扁額「明明徳」,6.392,都心西部直下地震,6強以上
131075100067,13107,墨田区,Municipal,Unknown,有形文化財,歴史資料,point,歌川豊広辞世の狂歌碑,6.382,都心西部直下地震,6強以上
131075100068,13107,墨田区,Municipal,Unknown,有形文化財,歴史資料,point,石造標柱「隅田公園入口」,5.931,都心西部直下地震,6弱
131075100069,13107,墨田区,Municipal,Unknown,有形文化財,歴史資料,point,石造「夜寉井銘」の碑,6.36,都心西部直下地震,6強以上
131075100070,13107,墨田区,Municipal,Unknown,有形文化財,歴史資料,point,生月鯨太左衛門の墓 ※非公開,6.182,都心西部直下地震,6強以上
131075100071,13107,墨田区,Municipal,Unknown,有形文化財,歴史資料,point,無縁法界塔,6.19,都心西部直下地震,6強以上
131075100072,13107,墨田区,Municipal,Unknown,有形文化財,歴史資料,point,板坂如春の碑(2基),6.186,都心西部直下地震,6強以上
131075100073,13107,墨田区,Municipal,Unknown,有形文化財,歴史資料,point,芥川家旧蔵雛人形,6.05,都心西部直下地震,6強以上
131075100074,13107,墨田区,Municipal,Unknown,有形文化財,歴史資料,point,「天下之糸平」の碑,6.285,都心西部直下地震,6強以上
131075100075,13107,墨田区,Municipal,Unknown,有形文化財,歴史資料,point,大石三平墓,6.247,都心西部直下地震,6強以上
