record_id,municipality_code,municipality_name,designation_level,designation_status,heritage_type_major,heritage_type_detail_norm,entity_class,name,seismic_intensity,scenario,seismic_class
13104:52,13104,新宿区,Unknown,Unknown,未判定,未細分,point,正受院の梵鐘,5.9,都心南部直下地震,6弱
13104:53,13104,新宿区,Unknown,Unknown,未判定,未細分,point,西迎寺の梵鐘,5.854,都心南部直下地震,6弱
13104:54,13104,新宿区,Unknown,Unknown,未判定,未細分,point,浄栄寺の梵鐘,5.813,都心南部直下地震,6弱
13104:55,13104,新宿区,Unknown,Unknown,未判定,未細分,point,善慶寺の梵鐘,5.83,都心南部直下地震,6弱
13104:56,13104,新宿区,Unknown,Unknown,未判定,未細分,point,法雲寺の梵鐘,5.945,都心南部直下地震,6弱
13104:57,13104,新宿区,Unknown,Unknown,未判定,未細分,point,圓照寺の梵鐘,5.791,都心南部直下地震,6弱
13104:58,13104,新宿区,Unknown,Unknown,未判定,未細分,point,薬王院の梵鐘,5.68,都心南部直下地震,6弱
13104:59,13104,新宿区,Unknown,Unknown,未判定,未細分,point,西應寺の梵鐘,6.061,都心南部直下地震,6強以上
13104:60,13104,新宿区,Unknown,Unknown,未判定,未細分,point,光照寺の涅槃図,5.748,都心南部直下地震,6弱
13104:61,13104,新宿区,Unknown,Unknown,未判定,未細分,point,長安寺の六地蔵塔,6.104,都心南部直下地震,6強以上
13104:62,13104,新宿区,Unknown,Unknown,未判定,未細分,point,太宗寺墓地出土品,5.9,都心南部直下地震,6弱
13104:63,13104,新宿区,Unknown,Unknown,未判定,未細分,point,小銅鐸,5.948,都心南部直下地震,6弱
13104:64,13104,新宿区,Unknown,Unknown,未判定,未細分,point,隆起線文系土器,5.948,都心南部直下地震,6弱
13104:65,13104,新宿区,Unknown,Unknown,未判定,未細分,point,下落合横穴墓出土品,5.948,都心南部直下地震,6弱
13104:66,13104,新宿区,Unknown,Unknown,未判定,未細分,point,一行院墓地出土品,6.143,都心南部直下地震,6強以上
13104:67,13104,新宿区,Unknown,Unknown,未判定,未細分,point,中村家文書,5.948,都心南部直下地震,6弱
13104:68,13104,新宿区,Unknown,Unknown,未判定,未細分,point,林光寺の歴代宗主銘,6.068,都心南部直下地震,6強以上
13104:69,13104,新宿区,Unknown,Unknown,未判定,未細分,point,亮朝院文書,5.731,都心南部直下地震,6弱
13104:70,13104,新宿区,Unknown,Unknown,未判定,未細分,point,中井御霊神社文書,5.628,都心南部直下地震,6弱
13104:71,13104,新宿区,Unknown,Unknown,未判定,未細分,point,長厳寺文書,5.814,都心南部直下地震,6弱
